_date,total_clones,unique_clones
2022-03-20,78,8
2022-03-21,1,1
2022-03-28,75,5
2022-04-04,2,1
2022-04-06,9,6
2022-04-07,68,8
2022-04-11,3,2
2022-04-12,15,6
2022-04-13,6,4
2022-04-16,3,2
2022-04-18,2,2
2022-04-22,2,2
2022-04-25,1,1
2022-04-28,1,1
2022-05-01,1,1
2022-05-02,2,2
2022-05-06,2,1
2022-05-09,2,2
2022-05-11,2,1
2022-05-12,23,10
2022-05-15,11,4
2022-05-16,5,4
2022-05-17,10,6
2022-05-18,1,1
2022-05-22,9,6
2022-05-23,5,5
2022-05-29,2,1
2022-05-30,2,2
2022-06-06,121,8
2022-06-07,2,1
2022-06-11,11,7
2022-06-13,4,4
2022-06-19,3,2
2022-06-20,3,3
2022-06-27,4,1
2022-06-29,8,5
2022-06-30,1,1
2022-07-04,4,4
2022-07-10,1,1
2022-07-11,2,2
2022-07-18,2,2
2022-07-25,3,3
2022-07-29,1,1
2022-08-01,2,2
2022-08-02,3,3
2022-08-03,7,5
2022-08-04,1,1
2022-08-06,7,4
2022-08-07,12,7
2022-08-08,2,2
2022-08-15,13,7
2022-08-22,1,1
2022-08-29,2,2
2022-09-05,1,1
2022-09-12,1,1
2022-09-19,2,2
2022-09-26,2,2
2022-10-02,8,5
2022-10-03,1,1
2022-10-07,2,1
2022-10-10,2,2
2022-10-16,12,6
2022-10-17,1,1
2022-10-21,1,1
2022-10-22,1,1
2022-10-23,1,1
2022-10-24,2,2
2022-10-31,2,2
2022-11-06,10,7
2022-11-07,1,1
2022-11-08,6,4
2022-11-11,32,13
2022-11-13,18,10
2022-11-14,2,2
2022-11-16,2,1
2022-11-20,2,2
2022-11-21,4,3
2022-11-28,1,1
2022-12-05,3,3
2022-12-07,2,1
2022-12-11,2,2
2022-12-12,4,3
2022-12-18,14,7
